SOC,SOH,Operating conditions,DischargingBattery,Temperature(°C),Initial capacity (Ah),EOL capacity(Ah),Current(A),Cut-off voltage(V)
95,97,Constant current discharge,Yes,24.6,2010,971.9,10.3,3.1
92,98,Constant current discharge,Yes,24.8,2010,1008.7,10.4,3.2
100,100,Constant current discharge,Yes,24.9,2010,976.5,10.2,3.1
69,94,Constant current discharge,Yes,23.9,1820,912.5,9.8,3.2
64,93,Constant current discharge,Yes,23.6,1875,925.3,9.6,3.2
65,92,Constant current discharge,Yes,23.5,1798,912.6,9.5,3.2
64,97,Constant current discharge,Yes,24,1826,912.5,9.7,3.2
55,92,Constant current discharge,Yes,23.8,1775,912.5,9.6,3.2
100,100,Constant current discharge,Yes,24.9,2010,1016.1,10.4,3.1
100,100,Constant current discharge,Yes,25.3,2010,1013,10.4,3.1
69,94,Constant current discharge,Yes,23.9,1868,925.2,9.5,3.2
67,92,Constant current discharge,Yes,23.8,1851,912.5,9.6,3.2
64,94,Constant current discharge,Yes,23.7,1838,914.4,9.7,3.2
66,93,Constant current discharge,Yes,23.9,1821,926,9.6,3.2
96,99,Constant current discharge,Yes,25,2010,989.7,10.1,3.1
72,92,Constant current discharge,Yes,23.5,1846,912.5,9.6,3.2
93,99,Constant current discharge,Yes,23.9,1854,923.8,10.2,3.2
88,98,Constant current discharge,Yes,23.9,2005,918.6,10,3.2
100,99,Constant current discharge,Yes,25.3,2010,1025,10.1,3.1
62,93,Constant current discharge,Yes,23.9,1871,923.8,9.7,3.2
93,100,Constant current discharge,Yes,24.6,1984,954.7,10.1,3.1
55,92,Constant current discharge,Yes,23.5,1831,912.5,9.8,3.2
94,100,Constant current discharge,Yes,25.1,1967,912.5,9.9,3.2
59,97,Constant current discharge,Yes,24.1,1882,931.2,9.8,3.1
100,100,Constant current discharge,Yes,25.3,2010,1002.9,10.4,3.1
58,92,Constant current discharge,Yes,23.8,1980,996.9,10.1,3.2
58,95,Constant current discharge,Yes,23.7,1858,912.5,9.8,3.2
63,93,Constant current discharge,Yes,23.7,1870,912.5,9.7,3.2
60,93,Constant current discharge,Yes,23.7,1848,922.3,10.2,3.2
66,92,Constant current discharge,Yes,23.7,1984,912.5,10.1,3.2
82,96,Constant current discharge,Yes,24.8,1955,912.5,10.3,3.2
97,99,Constant current discharge,Yes,24.6,2010,921,9.9,3.2
62,94,Constant current discharge,Yes,23.5,1826,912.5,9.7,3.2
70,93,Constant current discharge,Yes,23.6,1853,933.8,10,3.2
97,98,Constant current discharge,Yes,24.9,2010,998.8,10.1,3.2
91,98,Constant current discharge,Yes,24.8,2010,986.3,10.4,3.1
90,99,Constant current discharge,Yes,24.9,2010,976.9,10.3,3.1
71,93,Constant current discharge,Yes,23.5,1867,912.5,9.6,3.2
100,99,Constant current discharge,Yes,24.8,2010,989.1,10.4,3.1
81,94,Constant current discharge,Yes,24.7,1964,1001.7,10.2,3.2
67,93,Constant current discharge,Yes,23.8,1821,930.7,9.9,3.1
98,98,Constant current discharge,Yes,23.9,2010,1007,10.2,3.2
64,92,Constant current discharge,Yes,23.6,1862,919.1,9.7,3.2
100,100,Constant current discharge,Yes,25.3,2010,986.9,10.2,3.1
66,93,Constant current discharge,Yes,23.9,1851,912.5,9.6,3.2
92,93,Constant current discharge,Yes,24.1,1971,932.1,10.3,3.2
69,92,Constant current discharge,Yes,23.5,1893,912.5,9.7,3.2
65,98,Constant current discharge,Yes,24.8,1976,934.2,10.2,3.2
94,98,Constant current discharge,Yes,24.9,2010,967.8,10.4,3.1
56,91,Constant current discharge,Yes,23.5,1795,912.5,9.6,3.2
89,98,Constant current discharge,Yes,24.9,2002,953.1,9.8,3.1
68,97,Constant current discharge,Yes,23.8,1951,993,9.9,3.2
100,100,Constant current discharge,Yes,25.3,2010,1021.5,10.4,3.1
96,98,Constant current discharge,Yes,25.3,2003,998.6,10.2,3.1
100,99,Constant current discharge,Yes,25,2010,967.1,10.2,3.2
100,98,Constant current discharge,Yes,24.8,1966,999.3,10.4,3.1
64,93,Constant current discharge,Yes,23.8,1831,933.5,10.1,3.2
68,91,Constant current discharge,Yes,23.5,1842,930.5,9.6,3.2
57,92,Constant current discharge,Yes,23.5,1885,912.5,9.5,3.2
97,98,Constant current discharge,Yes,25.3,2010,985.9,10.4,3.1
55,93,Constant current discharge,Yes,23.8,1869,912.5,9.6,3.2
100,99,Constant current discharge,Yes,24.9,1930,994.8,10.4,3.2
67,93,Constant current discharge,Yes,23.9,1843,912.5,10.1,3.2
68,93,Constant current discharge,Yes,23.5,1868,912.5,10,3.2
69,93,Constant current discharge,Yes,23.5,1834,912.5,9.7,3.2
72,92,Constant current discharge,Yes,23.5,1829,931.1,9.5,3.2
100,98,Constant current discharge,Yes,25.1,2010,1000.3,10.4,3.1
100,100,Constant current discharge,Yes,24.6,2010,988.9,10.4,3.2
100,99,Constant current discharge,Yes,25,2010,988.2,10.4,3.1
98,100,Constant current discharge,Yes,24,1982,1007.2,10.1,3.2
65,95,Constant current discharge,Yes,23.7,1987,922.7,10,3.2
91,98,Constant current discharge,Yes,24.7,1859,912.5,10,3.2
68,94,Constant current discharge,Yes,23.6,1867,912.5,10.2,3.2
59,96,Constant current discharge,Yes,24.6,1878,917.6,10.1,3.2
74,93,Constant current discharge,Yes,23.5,1822,912.5,9.6,3.2
59,94,Constant current discharge,Yes,23.5,1866,912.5,9.5,3.2
67,93,Constant current discharge,Yes,23.9,1875,912.5,9.7,3.2
57,93,Constant current discharge,Yes,23.9,1876,919.4,9.7,3.2
72,91,Constant current discharge,Yes,23.7,1829,912.5,9.8,3.2
88,100,Constant current discharge,Yes,24.8,1996,977.9,10.2,3.2
71,92,Constant current discharge,Yes,23.6,1778,919,9.5,3.2
97,98,Constant current discharge,Yes,25.2,2010,998.1,10.3,3.1
96,99,Constant current discharge,Yes,25.3,2010,964.6,10.3,3.1
96,98,Constant current discharge,Yes,23.8,1956,915.7,10.3,3.2
67,95,Constant current discharge,Yes,23.7,1860,914.1,9.5,3.2
65,91,Constant current discharge,Yes,23.5,1843,912.5,9.7,3.2
60,94,Constant current discharge,Yes,23.5,1810,918.2,9.6,3.2
69,95,Constant current discharge,Yes,24.8,1862,936.7,9.7,3.2
67,93,Constant current discharge,Yes,23.5,1833,913.7,9.6,3.2
65,98,Constant current discharge,Yes,23.6,2001,913.7,10,3.2
100,100,Constant current discharge,Yes,25.3,2010,1023.2,10.4,3.1
57,92,Constant current discharge,Yes,23.5,1819,912.5,9.5,3.2
72,92,Constant current discharge,Yes,23.7,1848,912.5,9.9,3.2
62,94,Constant current discharge,Yes,23.5,1904,916,9.5,3.2
95,99,Constant current discharge,Yes,25.2,1994,981.5,10.4,3.1
65,94,Constant current discharge,Yes,23.6,1948,931.9,9.6,3.2
70,99,Constant current discharge,Yes,25.2,1974,969.5,10.2,3.2
55,94,Constant current discharge,Yes,23.5,1832,912.5,9.6,3.2
99,98,Constant current discharge,Yes,24,2010,976.3,10.2,3.1
89,98,Constant current discharge,Yes,25,1986,1002.1,9.9,3.2
100,100,Constant current discharge,Yes,25.3,2010,993.8,10.4,3.1
100,100,Constant current discharge,Yes,25,2010,1015.5,10.3,3.1
68,94,Constant current discharge,Yes,23.5,1870,912.5,9.5,3.2
92,97,Constant current discharge,Yes,23.7,1963,974.7,10.3,3.1
61,92,Constant current discharge,Yes,23.6,1869,912.5,9.9,3.2
72,93,Constant current discharge,Yes,24,1808,912.5,9.6,3.2
67,93,Constant current discharge,Yes,23.5,1849,912.5,9.7,3.2
91,99,Constant current discharge,Yes,25.2,2010,1005.9,10.4,3.1
62,93,Constant current discharge,Yes,23.7,1813,912.5,10.2,3.2
86,98,Constant current discharge,Yes,24.9,1988,962.3,10.3,3.2
93,97,Constant current discharge,Yes,25,1988,985.8,10,3.2
69,94,Constant current discharge,Yes,23.6,1841,912.5,9.6,3.2
57,94,Constant current discharge,Yes,23.5,1848,916.7,9.6,3.2
99,100,Constant current discharge,Yes,25.1,2010,1018.7,10.4,3.1
61,94,Constant current discharge,Yes,24,1944,916.1,10.3,3.2
67,91,Constant current discharge,Yes,23.7,1866,962.9,9.7,3.2
70,94,Constant current discharge,Yes,23.9,1905,912.6,9.6,3.2
99,99,Constant current discharge,Yes,24.7,2010,966.6,10.4,3.1
90,97,Constant current discharge,Yes,25,2010,991.2,9.9,3.2
64,92,Constant current discharge,Yes,23.5,1824,912.5,9.6,3.2
68,99,Constant current discharge,Yes,24.6,1954,984.6,9.6,3.1
80,98,Constant current discharge,Yes,24,2010,916.4,10.2,3.2
100,100,Constant current discharge,Yes,24.7,2009,973.3,10.3,3.1
83,93,Constant current discharge,Yes,24.9,1965,988.5,10.2,3.1
68,93,Constant current discharge,Yes,23.8,1864,917.7,10,3.2
87,99,Constant current discharge,Yes,24.8,1945,1005.7,10.3,3.2
100,100,Constant current discharge,Yes,24.9,2010,994,10.4,3.1
77,98,Constant current discharge,Yes,24,1960,966.5,10.1,3.2
89,99,Constant current discharge,Yes,24.8,2010,966.2,10.3,3.2
90,98,Constant current discharge,Yes,24.5,1973,960.5,10.4,3.2
67,94,Constant current discharge,Yes,23.5,1838,912.5,9.6,3.2
94,97,Constant current discharge,Yes,25.2,2008,980.3,10.2,3.2
87,98,Constant current discharge,Yes,25.1,1973,974,10.3,3.1
100,99,Constant current discharge,Yes,24.3,2010,1004.8,10.2,3.1
61,95,Constant current discharge,Yes,23.6,1882,912.5,9.7,3.2
88,100,Constant current discharge,Yes,24.9,2010,1002.2,10.1,3.1
67,92,Constant current discharge,Yes,23.5,1900,912.5,9.6,3.2
55,92,Constant current discharge,Yes,23.8,1850,914.1,10,3.2
67,94,Constant current discharge,Yes,23.5,1848,928.4,10.1,3.2
85,94,Constant current discharge,Yes,25.1,2010,912.5,10,3.2
100,100,Constant current discharge,Yes,25.2,2010,1013.6,10.4,3.1
71,97,Constant current discharge,Yes,24.8,2010,912.5,9.8,3.2
79,100,Constant current discharge,Yes,24,1844,916.2,10.1,3.2
72,92,Constant current discharge,Yes,25,1978,939.7,10,3.2
63,93,Constant current discharge,Yes,23.6,1818,912.5,9.5,3.2
95,99,Constant current discharge,Yes,25.3,2010,994,10.3,3.1
64,93,Constant current discharge,Yes,23.5,1783,912.5,9.7,3.2
68,93,Constant current discharge,Yes,23.8,1820,913.5,9.6,3.2
100,99,Constant current discharge,Yes,24.7,1966,980.9,10,3.2
100,100,Constant current discharge,Yes,25.1,1931,989,10.4,3.2
86,96,Constant current discharge,Yes,25,2002,964.1,9.9,3.2
55,94,Constant current discharge,Yes,23.5,1839,912.5,9.4,3.2
62,92,Constant current discharge,Yes,23.7,1875,912.5,10.1,3.2
71,95,Constant current discharge,Yes,23.6,1809,916.2,9.6,3.2
72,93,Constant current discharge,Yes,23.5,1845,912.5,9.4,3.2
70,92,Constant current discharge,Yes,23.8,1846,919.3,9.6,3.2
100,100,Constant current discharge,Yes,25,2003,976.4,10.2,3.2
73,93,Constant current discharge,Yes,23.5,1860,912.5,9.6,3.2
88,98,Constant current discharge,Yes,25.2,1986,1001.6,10,3.2
62,93,Constant current discharge,Yes,23.5,1899,912.5,9.8,3.2
94,99,Constant current discharge,Yes,25,2010,964.9,10.4,3.2
93,99,Constant current discharge,Yes,24.9,1993,1001.7,10,3.2
68,91,Constant current discharge,Yes,23.6,1848,912.5,9.6,3.2
71,93,Constant current discharge,Yes,24,1811,927.8,9.7,3.2
64,99,Constant current discharge,Yes,24.9,1890,914.6,9.9,3.2
69,93,Constant current discharge,Yes,24,1873,922.5,9.6,3.2
90,93,Constant current discharge,Yes,25,2001,912.5,10.2,3.2
65,93,Constant current discharge,Yes,24,1871,912.5,9.8,3.2
78,94,Constant current discharge,Yes,23.5,1853,912.5,9.5,3.2
85,97,Constant current discharge,Yes,25,1977,968.5,10.2,3.2
97,99,Constant current discharge,Yes,25,1998,968.5,10.2,3.1
67,92,Constant current discharge,Yes,24,1834,912.5,10.1,3.2
100,99,Constant current discharge,Yes,24.8,2010,968.5,10.2,3.1
100,97,Constant current discharge,Yes,25.2,2004,988.4,9.7,3.1
68,94,Constant current discharge,Yes,23.7,1860,917.6,9.9,3.2
100,100,Constant current discharge,Yes,24.9,2010,985.9,10.4,3.2
99,100,Constant current discharge,Yes,25.1,1988,998,10.4,3.1
68,94,Constant current discharge,Yes,23.5,1864,912.5,9.4,3.2
65,91,Constant current discharge,Yes,23.7,1874,912.5,9.8,3.2
64,98,Constant current discharge,Yes,23.8,1881,921,10,3.2
100,100,Constant current discharge,Yes,25,2010,1025,10.4,3.1
59,93,Constant current discharge,Yes,23.6,1849,912.5,9.7,3.2
62,92,Constant current discharge,Yes,23.5,1850,912.5,9.7,3.2
95,99,Constant current discharge,Yes,24.4,1923,990.4,10.3,3.2
63,94,Constant current discharge,Yes,23.7,1811,915.7,9.6,3.2
56,95,Constant current discharge,Yes,23.8,1979,915.3,9.5,3.2
62,93,Constant current discharge,Yes,24,1851,934.1,9.6,3.2
64,99,Constant current discharge,Yes,23.5,1993,912.5,9.9,3.2
71,93,Constant current discharge,Yes,23.5,1836,912.5,9.4,3.2
65,92,Constant current discharge,Yes,23.5,1853,912.5,9.6,3.2
99,99,Constant current discharge,Yes,24.5,1970,987.7,10.4,3.2
65,93,Constant current discharge,Yes,23.6,1817,922.1,10.2,3.2
71,98,Constant current discharge,Yes,24.9,1999,979.2,10.2,3.2
75,98,Constant current discharge,Yes,24.6,1843,985.9,10,3.2
100,99,Constant current discharge,Yes,25.2,2007,1020,10.4,3.1
58,91,Constant current discharge,Yes,23.8,1857,922.3,9.7,3.2
71,92,Constant current discharge,Yes,23.8,1892,912.5,9.7,3.2
100,100,Constant current discharge,Yes,25.3,2010,977.2,10.4,3.1
68,94,Constant current discharge,Yes,23.6,1800,912.5,9.5,3.2
71,94,Constant current discharge,Yes,23.5,1796,912.5,9.5,3.2
95,98,Constant current discharge,Yes,24.9,2010,978,10.3,3.1
100,97,Constant current discharge,Yes,24.9,1999,998.7,10.3,3.2
75,91,Constant current discharge,Yes,23.6,1855,912.5,9.7,3.2
70,94,Constant current discharge,Yes,23.5,1877,912.5,9.7,3.2
91,99,Constant current discharge,Yes,24.1,2010,976.9,10,3.2
69,91,Constant current discharge,Yes,23.5,1825,912.5,9.5,3.2
96,100,Constant current discharge,Yes,24.7,2010,986.1,10.2,3.2
70,94,Constant current discharge,Yes,23.5,1815,914,9.5,3.2
69,93,Constant current discharge,Yes,23.5,1841,912.5,9.7,3.2
100,99,Constant current discharge,Yes,25.2,2010,976.2,10.3,3.1
72,93,Constant current discharge,Yes,23.9,1819,925.8,9.6,3.2
58,92,Constant current discharge,Yes,23.7,1872,927.5,9.7,3.2
62,95,Constant current discharge,Yes,24.1,1825,920.9,9.6,3.2
86,99,Constant current discharge,Yes,24.7,1990,966.1,10.4,3.1
71,92,Constant current discharge,Yes,23.8,1883,913,9.7,3.2
100,100,Constant current discharge,Yes,24.6,2000,978.9,10.4,3.1
93,94,Constant current discharge,Yes,24.6,1841,926.3,10.3,3.2
67,93,Constant current discharge,Yes,23.7,1849,912.5,9.6,3.2
60,93,Constant current discharge,Yes,23.7,2010,939.6,10.1,3.2
91,98,Constant current discharge,Yes,24.8,1997,980.4,10.1,3.1
100,99,Constant current discharge,Yes,25.1,2010,1008.4,10.4,3.1
68,93,Constant current discharge,Yes,23.5,1865,912.5,9.5,3.2
99,94,Constant current discharge,Yes,25,1943,983.2,10.2,3.2
69,98,Constant current discharge,Yes,24,1991,969.4,10.4,3.2
80,99,Constant current discharge,Yes,23.8,2010,912.5,10,3.2
100,97,Constant current discharge,Yes,24.9,2000,974.7,10.3,3.1
100,97,Constant current discharge,Yes,25,2010,980.1,10.1,3.1
70,95,Constant current discharge,Yes,23.6,1829,912.5,9.7,3.2
95,100,Constant current discharge,Yes,24.6,2004,991.1,10.4,3.1
86,96,Constant current discharge,Yes,23.9,2010,983.2,10.2,3.2
97,93,Constant current discharge,Yes,23.6,1839,919.4,10,3.2
88,98,Constant current discharge,Yes,24,1957,925.4,10.2,3.2
83,98,Constant current discharge,Yes,24.7,2010,1006.3,10.4,3.2
59,93,Constant current discharge,Yes,24,1878,920.1,9.6,3.2
58,92,Constant current discharge,Yes,23.7,1853,912.5,9.5,3.2
59,92,Constant current discharge,Yes,23.6,1881,912.5,10,3.2
99,99,Constant current discharge,Yes,25.1,2010,1000.4,10.4,3.1
61,92,Constant current discharge,Yes,23.5,1846,917,9.6,3.2
99,97,Constant current discharge,Yes,24.8,2010,992.9,10,3.2
91,99,Constant current discharge,Yes,24.8,2000,1012.7,10.4,3.1
91,100,Constant current discharge,Yes,25,1966,983.1,10.3,3.1
66,95,Constant current discharge,Yes,23.9,1853,912.5,9.6,3.2
56,91,Constant current discharge,Yes,23.6,1854,922,10.2,3.2
62,98,Constant current discharge,Yes,24.4,1873,957.8,10.3,3.2
62,95,Constant current discharge,Yes,23.7,1849,912.5,9.7,3.2
64,92,Constant current discharge,Yes,23.8,1894,912.5,9.5,3.2
70,93,Constant current discharge,Yes,23.7,1851,912.5,9.5,3.2
100,99,Constant current discharge,Yes,24.5,1926,979.8,10.2,3.2
100,98,Constant current discharge,Yes,24.5,2005,966.1,10.4,3.2
100,99,Constant current discharge,Yes,25.2,2010,998.5,10.4,3.1
99,98,Constant current discharge,Yes,23.7,1973,912.9,9.7,3.2
70,94,Constant current discharge,Yes,23.5,1877,912.5,9.6,3.2
55,93,Constant current discharge,Yes,23.6,1851,930.5,9.5,3.2
67,92,Constant current discharge,Yes,23.5,1870,912.5,9.6,3.2
100,100,Constant current discharge,Yes,25.3,2010,1025,10.4,3.1
93,94,Constant current discharge,Yes,23.7,1832,920.1,10.3,3.2
100,100,Constant current discharge,Yes,25.1,2010,1004,10.4,3.1
100,100,Constant current discharge,Yes,25,2010,980.5,10.4,3.1
95,99,Constant current discharge,Yes,25,2010,1011,10.2,3.1
55,93,Constant current discharge,Yes,23.7,1903,912.5,9.8,3.2
85,97,Constant current discharge,Yes,23.9,1954,970.9,10.1,3.2
67,94,Constant current discharge,Yes,23.6,1820,912.5,9.8,3.2
88,97,Constant current discharge,Yes,24.9,2004,979,10.3,3.1
64,94,Constant current discharge,Yes,23.5,1840,917.6,9.7,3.2
100,100,Constant current discharge,Yes,24.5,2010,966.9,10.2,3.1
96,97,Constant current discharge,Yes,25.1,2010,986.6,10.4,3.2
63,94,Constant current discharge,Yes,24,1834,918,10.1,3.2
61,93,Constant current discharge,Yes,24.4,1815,914.3,10.3,3.2
61,93,Constant current discharge,Yes,24.4,1843,969.6,10.3,3.2
99,99,Constant current discharge,Yes,24.9,2010,987.7,10.4,3.1
91,99,Constant current discharge,Yes,24.9,2010,967.3,10,3.2
77,93,Constant current discharge,Yes,23.7,1848,912.5,9.7,3.2
67,94,Constant current discharge,Yes,23.5,1834,912.5,9.7,3.2
100,98,Constant current discharge,Yes,24,2010,981.9,10.2,3.2
100,99,Constant current discharge,Yes,25,2010,1000.1,10.4,3.1
76,92,Constant current discharge,Yes,23.7,1865,912.5,9.7,3.2
99,99,Constant current discharge,Yes,25.3,2010,977,10.2,3.1
62,91,Constant current discharge,Yes,23.5,1805,912.5,9.5,3.2
97,98,Constant current discharge,Yes,25,1968,982.6,10.3,3.2
90,100,Constant current discharge,Yes,24.9,2010,991.3,10.3,3.1
97,100,Constant current discharge,Yes,25.1,2010,981.4,10.4,3.1
100,100,Constant current discharge,Yes,25.2,2010,992.7,10.4,3.1
55,94,Constant current discharge,Yes,23.7,1862,912.5,9.7,3.2
61,93,Constant current discharge,Yes,24,1886,931.8,9.5,3.2
100,97,Constant current discharge,Yes,24.9,2010,976.8,10.4,3.1
72,96,Constant current discharge,Yes,23.8,1974,981.1,10.2,3.1
90,100,Constant current discharge,Yes,24.9,2010,931.2,9.7,3.2
98,99,Constant current discharge,Yes,25.2,2010,965.2,10.3,3.1
70,92,Constant current discharge,Yes,23.5,1831,912.5,9.4,3.2
88,94,Constant current discharge,Yes,23.5,1846,919.5,9.8,3.2
65,97,Constant current discharge,Yes,24.2,1910,964.5,10.2,3.2
89,97,Constant current discharge,Yes,24.8,2010,997,10.4,3.1
78,99,Constant current discharge,Yes,23.6,1872,912.5,10.4,3.2
59,98,Constant current discharge,Yes,25,2010,965.1,9.9,3.2
67,92,Constant current discharge,Yes,23.6,1891,912.5,9.6,3.2
85,99,Constant current discharge,Yes,25,1891,968.5,10,3.1
95,99,Constant current discharge,Yes,25.2,2010,1014.5,10.2,3.1
99,98,Constant current discharge,Yes,25,1973,976.6,10.2,3.2
72,92,Constant current discharge,Yes,23.7,1911,912.5,9.8,3.2
74,92,Constant current discharge,Yes,23.5,1840,949.5,10.1,3.2
69,97,Constant current discharge,Yes,23.7,1842,912.5,9.7,3.2
84,99,Constant current discharge,Yes,24.9,2010,1004.2,10.3,3.1
74,99,Constant current discharge,Yes,25.2,1984,984.8,10.2,3.2
100,100,Constant current discharge,Yes,24.7,2010,998.6,10.4,3.1
96,100,Constant current discharge,Yes,24.7,2010,974.8,10.4,3.1
100,100,Constant current discharge,Yes,25.2,2010,1013.6,10.3,3.1
68,93,Constant current discharge,Yes,23.6,1889,912.5,9.8,3.2
97,100,Constant current discharge,Yes,24.7,2001,984.4,10.2,3.1
91,98,Constant current discharge,Yes,24.7,1970,992.1,10.2,3.1
100,100,Constant current discharge,Yes,25,2010,997.1,10.4,3.1
61,91,Constant current discharge,Yes,23.5,1875,912.5,9.6,3.2
67,92,Constant current discharge,Yes,23.5,1827,925.2,9.8,3.2
87,93,Constant current discharge,Yes,24.8,1988,970.1,10.1,3.2
98,96,Constant current discharge,Yes,24.4,1989,912.5,10.1,3.2
59,93,Constant current discharge,Yes,23.6,1831,912.5,9.7,3.2
97,98,Constant current discharge,Yes,23.8,1962,1005,9.8,3.2
64,92,Constant current discharge,Yes,23.5,1848,912.5,9.4,3.2
100,100,Constant current discharge,Yes,25.1,2010,997.1,10.4,3.1
97,99,Constant current discharge,Yes,25.1,2010,980.3,10.3,3.2
95,98,Constant current discharge,Yes,24.8,2010,994,10.2,3.1
61,93,Constant current discharge,Yes,23.5,1883,970.5,9.6,3.2
65,93,Constant current discharge,Yes,23.8,1819,912.5,9.6,3.2
100,100,Constant current discharge,Yes,25.1,2010,1017.6,10.3,3.1
77,93,Constant current discharge,Yes,23.9,1843,913.9,9.6,3.2
97,99,Constant current discharge,Yes,24.9,1990,999.1,10.4,3.2
71,92,Constant current discharge,Yes,23.5,1980,977.3,10.1,3.2
71,94,Constant current discharge,Yes,23.5,1804,922.8,9.5,3.2
99,99,Constant current discharge,Yes,25,1956,987.4,10.4,3.2
68,93,Constant current discharge,Yes,23.5,1827,912.5,9.5,3.2
92,98,Constant current discharge,Yes,24.8,2010,979.6,10.4,3.1
100,98,Constant current discharge,Yes,23.8,1909,912.5,9.9,3.2
69,94,Constant current discharge,Yes,23.8,1818,912.5,10.1,3.2
86,99,Constant current discharge,Yes,23.5,1830,937.4,10,3.2
73,92,Constant current discharge,Yes,23.6,1911,912.5,9.7,3.2
91,99,Constant current discharge,Yes,24.6,2010,980.3,10.4,3.1
100,100,Constant current discharge,Yes,25.3,2010,977.7,10.2,3.1
62,93,Constant current discharge,Yes,23.5,1805,912.5,9.6,3.2
67,92,Constant current discharge,Yes,24,1872,933.7,9.5,3.2
97,99,Constant current discharge,Yes,24.9,2008,986.2,10.4,3.1
58,93,Constant current discharge,Yes,24,1871,912.5,9.8,3.2
96,99,Constant current discharge,Yes,25,2010,985.4,9.9,3.1
64,98,Constant current discharge,Yes,23.9,1971,912.5,10.4,3.2
100,98,Constant current discharge,Yes,25.3,2010,998.5,10.3,3.1
62,93,Constant current discharge,Yes,23.7,1829,912.5,9.7,3.2
64,93,Constant current discharge,Yes,23.5,1871,912.5,9.6,3.2
100,100,Constant current discharge,Yes,25.1,2010,999.8,10.4,3.1
66,94,Constant current discharge,Yes,23.5,1892,912.5,9.7,3.2
71,91,Constant current discharge,Yes,23.5,1835,912.5,9.5,3.2
100,100,Constant current discharge,Yes,25.3,2010,988,10.3,3.1
64,92,Constant current discharge,Yes,23.5,1810,917.2,9.6,3.2
94,97,Constant current discharge,Yes,24.8,1979,944.6,10.2,3.2
57,93,Constant current discharge,Yes,23.5,1810,912.5,9.6,3.2
96,98,Constant current discharge,Yes,25.3,2007,993.1,10.1,3.2
100,100,Constant current discharge,Yes,25,2010,1009.6,10.4,3.1
61,93,Constant current discharge,Yes,23.6,1883,912.5,9.7,3.2
63,94,Constant current discharge,Yes,23.8,1855,928.7,9.9,3.2
93,99,Constant current discharge,Yes,24.7,2010,998.4,10.3,3.2
